,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,,x11,x12
年份,全国普通高校年生均学杂费（元）,全国普通高校在校大学生数（人）,普通高等学校生均教育经费支出(元),普通高等学校生均预算内教育经费支出（元）,地方普通高等学校生均预算内教育经费支出（元）,地方普通高等学校生均教育经费支出（元）,全国各年度人均地区国内生产总值（元/人）,全国各年度各地区城镇居民平均每人全年可支配收入（元/人）,全国各年度农民家庭人均纯收入（元/人）,全国各年度各地区年底总人口(单位:万人),全国各地财政收入（万元）,全国人均财政收入（万元）,全国人均财政收入（元）,加权后城乡居民家庭户均可支配或纯收入（元）
1999,1977.46 ,4085874,15231.24,8914.94 ,7010.81,12077.62,7159,5854.02,2210.34,125786 ,55948655 ,0.00224824,22.48 ,12510.36 
2000,2560.89 ,5560900,15974.32,8625.65 ,6498.4,12743.42,7858,6279.98,2253.42,126743 ,64060557,0.001978487,19.78 ,13087.63 
2001,3004.54 ,7190658,15445.23,7793.44 ,5798.82,12216.37,8622,6859.58,2366.4,127627 ,78032999 ,0.001635552,16.36 ,13945.87 
2002,3391.14 ,9033649,15119.56,7021.06 ,5394.53,12262.01,9398,7702.8,2475.63,128453 ,85150026 ,0.001508549,15.09 ,15215.41 
2003,3578.03 ,11085642,14962.77,6522.48 ,4923.34,12167.35,10542,8472.2,2622.24,129227 ,98499846,0.001311951,13.12 ,16694.98 
2004,3799.30 ,13334969,14928.92,6220.60 ,4809.87,12162.88,12336,9421.61,2936.4,129988 ,116933709 ,0.001111638,11.12 ,18815.03 
2005,3966.06 ,15617767,15025.47,5940.77 ,4741.55,12107.2,14053,10493.03,3254.93,130756 ,148842198 ,0.000878487,8.78 ,21140.86 
2006,3891.79 ,17388441,15332.8,6395.38 ,5072.57,12544.49,16165,11759.45,3587.04,131448 ,183035800 ,0.000718155,7.18 ,23221.48 
2007,5367.42 ,18848954,16319.95,6963.39 ,5724.06,13435.59,19524,13785.81,4140.36,132129 ,235726181 ,0.000560519,5.61 ,27085.30 
2008,5892.03 ,20210249,17972.13,8241.58 ,7017.41,14517.44,22698,15780.76,4760.62,132802 ,286497896 ,0.000463536,4.64 ,31248.97 
2009,6047.61 ,21446570,18646.97,9035.33 ,7298.36,14754.52,25733 ,17174.65,5153.17,133670 ,326025850 ,0.000409997,4.10 ,34718.06 
2010,6397.74 ,22317929,20497.92,10144.33 ,8456.26,16349.18,30015,19109.44,5919.01,134091 ,406130447 ,0.000330167,3.30 ,39530.76 
2011,6635.05 ,23085078,24040.83,14442.20 ,12084.61,20008.58,35181,21809.78,6977.29,134735 ,525471100 ,0.000256408,2.56 ,45687.61 
,,,,,,,,,,,,,,
,,,,,Y=97215.874-0.001X1-0.603X2+0.802X5+0.273X6+1.021X7-0.704X9-5.53-5X10-624.356X11+0.395X12,,,,,,,,,
,,,,,,,,,,,,,,
